iter	RMSE
0	8.003077902
1	7.85002108
2	7.707026924
3	7.568647593
4	7.446762733
5	7.323544613
6	7.212749014
7	7.088216039
8	7.004053906
9	6.895145263
10	6.795692042
11	6.707068321
12	6.61701623
13	6.535800992
14	6.448689089
15	6.374137336
16	6.3018077
17	6.236546383
18	6.164360712
19	6.095633047
20	6.038233214
21	5.976253374
22	5.919126234
23	5.869290787
24	5.81157349
25	5.763110127
26	5.717429093
27	5.671213131
28	5.633743043
29	5.588742375
30	5.556935499
31	5.51847708
32	5.475829683
33	5.440705086
34	5.40522968
35	5.37538031
36	5.345224243
37	5.313045973
38	5.280421808
39	5.253708839
40	5.224583813
41	5.203016175
42	5.184968226
43	5.161290209
44	5.142548263
45	5.120223435
46	5.099634231
47	5.076329407
48	5.052798801
49	5.03245277
50	5.009214693
51	4.990156944
52	4.971252888
53	4.954287002
54	4.931368871
55	4.91341206
56	4.897001916
57	4.882845234
58	4.866961312
59	4.853878854
60	4.842540755
61	4.829422195
62	4.814453114
63	4.802445283
64	4.791532505
65	4.782569246
66	4.769344278
67	4.757842345
68	4.747279109
69	4.733885011
70	4.725309016
71	4.713146991
72	4.702582972
73	4.69133893
74	4.681550894
75	4.671071655
76	4.660569157
77	4.650600905
78	4.642674015
79	4.632822968
80	4.623310104
81	4.613601608
82	4.602348207
83	4.593221267
84	4.588414494
85	4.57882248
86	4.570788588
87	4.563602078
88	4.55350265
89	4.546882054
90	4.536409082
91	4.525480124
92	4.517999104
93	4.510971684
94	4.502902787
95	4.495655983
96	4.491055344
97	4.482783634
98	4.474888617
99	4.467459795
100	4.461157304
101	4.456968886
102	4.451113446
103	4.447373318
104	4.438742177
105	4.433932685
106	4.425299092
107	4.41679815
108	4.408337797
109	4.400813608
110	4.394889757
111	4.388050605
112	4.383879701
113	4.380405219
114	4.374869325
115	4.366775202
116	4.361910857
117	4.355749509
118	4.347653691
119	4.346596158
120	4.341640935
121	4.336639389
122	4.331733662
123	4.326147641
124	4.320508483
125	4.314680622
126	4.310924907
127	4.305495917
128	4.300176733
129	4.296196016
130	4.288267581
131	4.281846247
132	4.275866422
133	4.269983872
134	4.261402787
135	4.257630807
136	4.250982376
137	4.246388743
138	4.240346029
139	4.235036367
140	4.229993614
141	4.226560863
142	4.219755248
143	4.213342659
144	4.205802119
145	4.198230825
146	4.193065907
147	4.186958299
148	4.181997618
149	4.176694683
150	4.173162679
151	4.167666507
152	4.164275725
153	4.158618015
154	4.152993055
155	4.148459971
156	4.142523341
157	4.137572201
158	4.130906189
159	4.125199972
160	4.116634556
161	4.111560256
162	4.107146879
163	4.101740694
164	4.098400637
165	4.093583133
166	4.089454173
167	4.082602546
168	4.078393666
169	4.074194312
170	4.068960941
171	4.064205318
172	4.061786981
173	4.056888678
174	4.0508243
175	4.044839398
176	4.038611944
177	4.035074851
178	4.03044717
179	4.023451419
180	4.015367157
181	4.010526494
182	4.007091613
183	4.002172069
184	3.998609288
185	3.991844574
186	3.98764235
187	3.981986872
188	3.978918643
189	3.974289906
190	3.969034779
191	3.964437886
192	3.961781092
193	3.957753203
194	3.952904627
195	3.949323894
196	3.943507613
197	3.939973349
198	3.936447475
199	3.931251453
200	3.926244591
201	3.918572146
202	3.913504754
203	3.909299434
204	3.904283296
205	3.899398004
206	3.894186122
207	3.889357524
208	3.885651472
